Source, SourceFunction, SourcePath, Sink, SinkFunction, SinkPath, Remark, Plugin
getInputStream(...) : InputStream, sendGet, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/http/HttpUtils.java, rspStr, getRealAddressByIP, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/AddressUtils.java, Unsafe deserialization, UnsafeDeserialization
fragment : String, localRefreshTask, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, ... + ..., localRefreshTask, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheNames, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheNames, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheKeys, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheKeys, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheValue, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheValue, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
"测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, "测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试1", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, "测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试2", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, "测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试3", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, "测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试4", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, "测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试5", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试6", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试6", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试6", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试6", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试7", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试7", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试7", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试7", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试8", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试8", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试8", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试8", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试9", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试9", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试9", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试9", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试10", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试10", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试10", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试10", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试11", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试11", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试11", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试11", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试12", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试12", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试12", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试12", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试13", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试13", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试13", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试13", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试14", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试14", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试14", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试14", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试15", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试15", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试15", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试15", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试16", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试16", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试16", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试16", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试17", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试17", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试17", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试17", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试18", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试18", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试18", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试18", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试19", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试19", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试19", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试19", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试20", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试20", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试20", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试20", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试21", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试21", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试21", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试21", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试22", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试22", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试22", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试22", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试23", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试23", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试23", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试23", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试24", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试24", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试24", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试24", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试25", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试25", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试25", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试25", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试26", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, "测试26", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoOperateController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"测试26", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, "测试26", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoTableController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"admin", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, "admin", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"admin123", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, "admin123", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"admin123", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, "admin123", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
"ry", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, "ry", <obinit>, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/tool/TestController.java, Hard-coded value flows to $@., HardcodedCredentialsSourceCall
file : MultipartFile, uploadFile, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/common/CommonController.java, absPath, upload, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUploadUtils.java, User input into FilePath tainted., TaintedPath
file : MultipartFile, uploadFile, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/common/CommonController.java, ... + ..., getAbsoluteFile, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUploadUtils.java, User input into FilePath tainted., TaintedPath
file : MultipartFile, updateAvatar, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysProfileController.java, absPath, upload, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUploadUtils.java, User input into FilePath tainted., TaintedPath
file : MultipartFile, updateAvatar, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysProfileController.java, ... + ..., getAbsoluteFile, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUploadUtils.java, User input into FilePath tainted., TaintedPath
resource : String, resourceDownload, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/common/CommonController.java, filePath, writeBytes, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUtils.java, User input into FilePath tainted., TaintedPath
fileName : String, fileDownload, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/common/CommonController.java, filePath, writeBytes, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUtils.java, User input into FilePath tainted., TaintedPath
fileName : String, fileDownload, /Users/pang0lin/Downloads/RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/common/CommonController.java, filePath, deleteFile, /Users/pang0lin/Downloads/RuoYi/ruoyi-common/src/main/java/com/ruoyi/common/utils/file/FileUtils.java, User input into FilePath tainted., TaintedPath
