Source, SourceFunction, SourcePath, Sink, SinkFunction, SinkPath, Remark, Plugin
getParameter(...) : String, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, pic, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, URL on which openStream is called may have been constructed from remote source., OpenStream
getParameter(...), bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, getParameter(...), bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, Unsafe deserialization, UnsafeDeserialization
getParameter(...), good, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, getParameter(...), good, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, Unsafe deserialization, UnsafeDeserialization
getParameter(...), doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Test2.java, getParameter(...), doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Test2.java, Unsafe deserialization, UnsafeDeserialization
getInputStream(...) : ServletInputStream, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/TestServlet.java, objin, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/TestServlet.java, Unsafe deserialization, UnsafeDeserialization
getInputStream(...) : ServletInputStream, bad4, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/XXE.java, xmlDecoder, bad4, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/XXE.java, Unsafe deserialization, UnsafeDeserialization
getParameter(...) : String, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, url, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, Untrusted URL redirection, UrlRedirect
getParameter(...) : String, doGet, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, url, doGet, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, Untrusted URL redirection, UrlRedirect
getParameter(...) : String, doGet, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, url, doGet, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, Untrusted URL redirection, UrlRedirect
username : String, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Log4jJndiInjection.java, username, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Log4jJndiInjection.java, Log4j log, Log4jJndiInjection
getParameter(...) : String, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, pic, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, Potentially untrusted URL forward, UnsafeUrlForward
getParameter(...) : String, bad2, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, url, httpPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, Potentially untrusted URL forward, UnsafeUrlForward
getParameter(...) : String, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, sql, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, This query depends on a $@., SqlTainted
getParameter(...) : String, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo3.java, url, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo3.java, Cross-site scripting vulnerability, XSS
username : String, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Log4jJndiInjection.java, username, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Log4jJndiInjection.java, Cross-site scripting vulnerability, XSS
getParameter(...) : String, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, pic, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, Potential server-side request forgery due to a $@., RequestForgery
getParameter(...) : String, bad2, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, url, httpPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, Potential server-side request forgery due to a $@., RequestForgery
getParameter(...) : String, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, url, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo4.java, Potential URLRedirect Vulnerability, URLRedirect
getParameter(...), bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, getParameter(...), bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo.java, Potential Fastjson Unserialize Vulnerability, Fastjson
getParameter(...), doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Test2.java, getParameter(...), doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Test2.java, Potential Fastjson Unserialize Vulnerability, Fastjson
getInputStream(...) : ServletInputStream, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo1.java, xml, bad, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo1.java, Potential XStream Unserialize Vulnerability, XStream
getInputStream(...) : ServletInputStream, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/TestServlet.java, readObject(...), doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/TestServlet.java, Potential JAVA Unserialize Vulnerability, Unserialize
getParameter(...) : String, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, sql, doPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo5.java, Potential SQLI Vulnerability, SQLI2
getParameter(...) : String, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo3.java, url, bad1, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo3.java, Potential XSS Vulnerability, XSS1
getParameter(...) : String, bad2, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, ...[...], httpPost, /Users/pang0lin/test/github/out/decode/classes/com/study/controller/Demo2.java, Potential SSRF Vulnerability, SSRF1
